"","0","1","p","test"
"n","2074","485","",""
"ethnicity (%)","","","<0.001",""
"   0","1354 (65.3)","255 (52.6)","",""
"   1","56 (2.7)","20 (4.1)","",""
"   2","217 (10.5)","46 (9.5)","",""
"   3","85 (4.1)","6 (1.2)","",""
"   4","362 (17.5)","158 (32.6)","",""
"gender = M (%)","1022 (49.3)","247 (50.9)","0.546",""
"hospital_expire_flag = 1 (%)","0 (0.0)","485 (100.0)","<0.001",""
"afib = 1 (%)","408 (19.7)","102 (21.0)","0.541",""
"hyperlipidemia = 1 (%)","950 (45.8)","202 (41.6)","0.108",""
"diabetes = 1 (%)","663 (32.0)","169 (34.8)","0.244",""
"hypertension = 1 (%)","1125 (54.2)","247 (50.9)","0.205",""
"cor_art_d = 1 (%)","648 (31.2)","198 (40.8)","<0.001",""
"peri_vasc_d = 1 (%)","112 (5.4)","36 (7.4)","0.107",""
"car_art_stent = 1 (%)","157 (7.6)","26 (5.4)","0.109",""
"smoking = 1 (%)","560 (27.0)","125 (25.8)","0.622",""
"tia = 1 (%)","270 (13.0)","70 (14.4)","0.452",""
"heparin_iv = 1 (%)","368 (17.7)","109 (22.5)","0.019",""
"antiplatelets = 1 (%)","602 (29.0)","138 (28.5)","0.846",""
"anticoag = 1 (%)","85 (4.1)","18 (3.7)","0.793",""
"antihtx (%)","","","0.175",""
"   0","1794 (86.5)","404 (83.3)","",""
"   1","111 (5.4)","34 (7.0)","",""
"   2","169 (8.1)","47 (9.7)","",""
"inpatient_stroke = 1 (%)","181 (8.7)","40 (8.2)","0.804",""
"age (median [IQR])","69.00 [57.00, 81.00]","75.00 [64.00, 85.00]","<0.001","nonnorm"
"avg_mbp_ni (median [IQR])","88.13 [78.00, 98.00]","83.58 [73.52, 95.54]","<0.001","nonnorm"
"min_mbp_ni (median [IQR])","75.00 [66.00, 86.00]","70.00 [59.25, 81.00]","<0.001","nonnorm"
"max_mbp_ni (median [IQR])","103.00 [90.00, 115.00]","100.00 [86.00, 117.00]","0.155","nonnorm"
"first_gcs (median [IQR])","15.00 [14.00, 15.00]","15.00 [14.00, 15.00]","0.936","nonnorm"
"avg_mbp (median [IQR])","87.32 [77.67, 97.26]","83.34 [74.15, 94.82]","<0.001","nonnorm"
"min_mbp (median [IQR])","74.00 [64.00, 84.00]","68.75 [58.00, 79.38]","<0.001","nonnorm"
"max_mbp (median [IQR])","103.00 [91.00, 115.00]","101.00 [88.00, 118.00]","0.625","nonnorm"
"first_glu (median [IQR])","119.00 [100.00, 152.00]","137.00 [108.75, 194.00]","<0.001","nonnorm"
"first_cre (median [IQR])","0.90 [0.70, 1.20]","1.10 [0.80, 1.60]","<0.001","nonnorm"
