"","0","1","p","test"
"n","2037","474","",""
"ethnicity (%)","","","<0.001",""
"   0","1326 (65.1)","249 (52.5)","",""
"   1","56 (2.7)","20 (4.2)","",""
"   2","214 (10.5)","42 (8.9)","",""
"   3","441 (21.6)","163 (34.4)","",""
"gender = M (%)","1002 (49.2)","245 (51.7)","0.353",""
"hospital_expire_flag = 1 (%)","0 (0.0)","474 (100.0)","<0.001",""
"afib = 1 (%)","398 (19.5)","98 (20.7)","0.620",""
"hyperlipidemia = 1 (%)","933 (45.8)","196 (41.4)","0.088",""
"diabetes = 1 (%)","647 (31.8)","165 (34.8)","0.221",""
"hypertension = 1 (%)","1106 (54.3)","240 (50.6)","0.165",""
"cor_art_d = 1 (%)","633 (31.1)","194 (40.9)","<0.001",""
"peri_vasc_d = 1 (%)","111 (5.4)","34 (7.2)","0.180",""
"car_art_stent = 1 (%)","154 (7.6)","26 (5.5)","0.139",""
"smoking = 1 (%)","546 (26.8)","120 (25.3)","0.546",""
"tia = 1 (%)","261 (12.8)","68 (14.3)","0.415",""
"heparin_iv = 1 (%)","361 (17.7)","106 (22.4)","0.023",""
"antiplatelets = 1 (%)","588 (28.9)","137 (28.9)","1.000",""
"anticoag = 1 (%)","80 (3.9)","17 (3.6)","0.830",""
"antihtx = 1 (%)","28 (1.4)","12 (2.5)","0.108",""
"inpatient_stroke = 1 (%)","178 (8.7)","38 (8.0)","0.679",""
"inotropes = 1 (%)","302 (14.8)","119 (25.1)","<0.001",""
"age (median [IQR])","69.00 [57.00, 81.00]","75.00 [64.00, 85.00]","<0.001","nonnorm"
"avg_mbp_ni (median [IQR])","88.00 [78.00, 97.94]","83.49 [73.48, 95.51]","<0.001","nonnorm"
"min_mbp_ni (median [IQR])","75.00 [65.00, 86.00]","70.00 [59.00, 81.00]","<0.001","nonnorm"
"max_mbp_ni (median [IQR])","103.00 [90.00, 115.00]","99.50 [86.00, 117.00]","0.145","nonnorm"
"first_gcs (median [IQR])","15.00 [14.00, 15.00]","15.00 [14.00, 15.00]","0.911","nonnorm"
"avg_mbp (median [IQR])","87.30 [77.63, 97.17]","83.29 [74.09, 94.81]","<0.001","nonnorm"
"min_mbp (median [IQR])","74.00 [63.00, 84.00]","68.25 [57.75, 79.62]","<0.001","nonnorm"
"max_mbp (median [IQR])","103.00 [91.00, 115.00]","101.00 [88.00, 118.00]","0.617","nonnorm"
"avg_sbp (median [IQR])","132.29 [118.12, 147.44]","128.46 [111.85, 146.16]","<0.001","nonnorm"
"min_sbp (median [IQR])","114.00 [99.00, 129.00]","105.00 [91.00, 122.00]","<0.001","nonnorm"
"max_sbp (median [IQR])","152.00 [135.00, 170.00]","152.00 [132.00, 172.00]","0.914","nonnorm"
"avg_sbp_ni (median [IQR])","133.00 [118.54, 148.60]","128.46 [111.76, 146.39]","<0.001","nonnorm"
"min_sbp_ni (median [IQR])","116.00 [102.00, 131.00]","108.00 [92.00, 126.00]","<0.001","nonnorm"
"max_sbp_ni (median [IQR])","150.00 [134.00, 169.00]","150.50 [129.00, 169.00]","0.275","nonnorm"
"first_glu (median [IQR])","119.00 [100.00, 152.00]","137.00 [108.00, 193.00]","<0.001","nonnorm"
"first_cre (median [IQR])","0.90 [0.70, 1.20]","1.10 [0.80, 1.60]","<0.001","nonnorm"
